GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
festas,com.example.festas.controller,ClienteController,0,86,0,2,0,24,0,10,0,9
festas,com.example.festas.controller,TemaFestaController,0,72,0,0,0,20,0,8,0,8
festas,com.example.festas.controller,SolicitacaoOrcamentoController,4,73,0,0,2,20,0,8,0,8
festas,com.example.festas.controller,AuthController,0,70,0,2,0,15,0,4,0,3
festas,com.example.festas.controller,TipoEventoController,0,73,0,0,0,20,0,8,0,8
festas,com.example.festas.controller,EnderecoController,0,73,0,0,0,20,0,8,0,8
festas,com.example.festas.security,SecurityConfigurations,7,62,0,0,2,11,2,5,2,5
festas,com.example.festas.security,SecurityFilter,0,50,0,6,0,14,0,6,0,3
festas,com.example.festas.security,DadosAutenticacao,0,9,0,0,0,1,0,1,0,1
festas,com.example.festas.security,DadosTokenJWT,0,6,0,0,0,1,0,1,0,1
festas,com.example.festas.security,TokenService,0,61,0,0,0,20,0,3,0,3
festas,com.example.festas,FestasApplication,5,3,0,0,2,1,1,1,1,1
festas,com.example.festas.service,AutenticacaoService,0,8,0,0,0,2,0,2,0,2
festas,com.example.festas.service,TemaFestaService,0,72,1,5,0,17,1,10,0,8
festas,com.example.festas.service,TipoEventoService,0,65,0,4,0,15,0,10,0,8
festas,com.example.festas.service,EnderecoService,0,64,0,4,0,15,0,10,0,8
festas,com.example.festas.service,ClienteService,0,84,0,8,0,19,0,13,0,9
festas,com.example.festas.service,SolicitacaoOrcamentoService,0,91,0,10,0,21,0,13,0,8
festas,com.example.festas.entity,Usuario,27,90,6,8,3,11,8,17,3,15
festas,com.example.festas.entity,Cliente,0,38,0,0,0,11,0,11,0,11
festas,com.example.festas.entity,TemaFesta,0,45,0,0,0,13,0,13,0,13
festas,com.example.festas.entity,SolicitacaoOrcamento,0,80,0,0,0,23,0,23,0,23
festas,com.example.festas.entity,Endereco,0,66,0,0,0,19,0,19,0,19
festas,com.example.festas.entity,TipoEvento,0,45,0,0,0,13,0,13,0,13
festas,com.example.festas.config,CorsConfig,0,51,0,0,0,7,0,2,0,2
